Start	End	TADs
3000	15000	1
18000	33000	2
36000	48000	3
51000	69000	4
72000	87000	5
90000	108000	6
111000	123000	7
126000	141000	8
144000	159000	9
162000	177000	10
180000	198000	3
201000	231000	6
234000	246000	1
249000	261000	12
264000	279000	1
282000	294000	13
297000	309000	2
312000	327000	3
330000	342000	4
345000	357000	7
360000	372000	8
375000	387000	3
390000	408000	7
411000	423000	3
426000	438000	1
441000	468000	3
471000	495000	6
498000	510000	6
513000	525000	6
528000	540000	6
543000	567000	7
570000	594000	6
597000	612000	14
615000	645000	13
648000	660000	17
663000	678000	12
681000	702000	12
705000	717000	12
720000	732000	1
735000	750000	2
753000	765000	47
768000	780000	46
783000	795000	45
798000	819000	44
